2117|Carga Soportada (Kg)|40||614
2117|Estante Ancho (pulg. )|19||615
2117|Material|Acero||616
2117|Color|Negro||617
2117|Para uso con|19 "Bastidores||618
17022|Conector B|DB9 Hembra||619
17022|Color|Negro||620
17023|Conector B|DB9 Hembra||621
17023|Color|Gris ||622
17024|Color|Negro||623
17026|Color|Negro||624
17039|Color|Azul marino||629
17039|Conector A|RJ45 macho||630
17039|Conector B|DB9 hembra||631
17039|Longitud|1.50 M||632
17029|CONECTORES|BNC RG59 AMBOS LADOS.||635
17031|Color|Negro||637
17311|Calibre|26||638
17311|Color|Negro||639
17311|Conector|RJ11||640
17311|Longitud|2 M||641
17054|CONECTOR A|NEMA1 MACHO||642
17054|CONECTOR B|NEMA1 HEMBRA||643
17054|Longitud|1.80 M||644
17052|Conector B|DB9 Hembra||645
17050|Conector "B"|VGA Hembra.||646
17044|Conector A|NEMA 5-15P ||647
17044|Conector B|IEC-60320-C13||648
17040|Conector A|NEMA 5-15P ||649
17040|Conector B|IEC-60320-C13||650
17045|Conector A|IRAM 2073:2009||651
17045|Conector B|IEC-60320-C13||652
17041|Conector A|KSC 8305 ||653
17041|Conector B|IEC-60320-C13||654
17273|Conector A|NEMA 5-15P||655
17273|Conector B|IEC-60320-C13||656
17043|Conector A|BS1363||657
17043|Conector B|IEC-60320-C13||658
17043|Volts|250||659
17038|Conector A|BS1363||660
17038|Conector B|IEC-60320-C13 ||661
17033|Conector B|RJ45 macho / ||662
17006|Color|Naranja||663
17006|CONECTOR A|SC||664
17006|CONECTOR B|LC / ||665
17006|Longitud|2 M||666
17005|COLOR|NARANJA||667
17005|CONECTOR A|LC||668
17005|CONECTOR B|ST||669
17005|Longitud|3 M.||670
17028|Conector B|MT-RJ||671
17247|Color|Verde||672
17247|CONECTOR A|SC||673
17247|CONECTOR B|LC / ||674
17247|Longitud|2 M||675
17248|Color|Naranja||676
17248|CONECTOR A|LC dúplex||677
17248|CONECTOR B|MT-RJ||678
17248|Longitud|3 M||679
17331|COLOR|Verde /  / ||680
17331|Longitud|3 M||681
17331|CONECTOR A|DB60 MACHO||682
17331|CONECTOR B|V35 MACHO||683
17331|CALIBRE|28||684
17271|Calibre|26||693
17271|Color|Negro||694
17271|Longitud|1.30 M||695
17271|Conector|S-VIDEO 4 pines||696
17272|Calibre|26||697
17272|Color|Marfil||698
17272|Longitud|1.0 M||699
17272|Conector|S-VIDEO 4 pines||700
17281|Amperes|1.5||701
17281|Color|Negro||702
17281|Conector|FIREWIRE 800 9 PINES||703
17281|Longitud|1.0 M||704
17281|Velocidad de transferencia|800 MBPS||705
17281|Voltage|30 VCD||706
17288|Color|Negro||707
17288|Longitud|1.80 M||708
17288|Conector|VGA macho||709
17119|Color|Gris||714
17119|Longitud|2.40 M||715
17119|Conectores|F rosca 6.5MM macho||716
17280|Color|Gris||717
17280|Conector|BLOCK 110||718
17280|Longitud|1.75 M||719
17280|Calibre|24||720
17118|ANCHO DE BANDA|100 MHZ||721
17118|CALIBRE|24||722
17118|Categoría|Cat 5e||723
17118|Color|Negro||724
17118|CONECTORES|RJ45 MACHO||725
17118|Longitud|5 M||726
17118|VELOCIDAD|100MBPS||727
17291|Color|Negro||732
17291|Conector A|DB25 macho||733
17291|Conector B|V35 macho Y DB25 macho||734
17291|Longitud|1.60 M||735
17335|COLOR|NEGRO||745
17335|CONECTOR A|TIPO N MACHO||746
17335|CONECTOR B|TIPO N HEMBRA||747
17335|Longitud|3 M||748
17334|Color|NEGRO||749
17334|CONECTOR A|TIPO N MACHO||750
17334|CONECTOR B|RP-SMA MACHO||751
17334|Longitud|1.80 M||752
1968|Profundidad|23,62 mm ||753
1968|Altura|6,35 mm ||754
1968|Ancho|38.10 mm ||755
17120|Color|Negro||756
17120|Conectores|F rosca 6.5MM macho||757
17120|Longitud|1.0 M||758
17287|Calibre|20||759
17287|Cobertura de malla|95%||760
